Tool name,Organization,Website,sub_module,Environmental indicators,Quick Description,Assessment Type,Perimeters,Assessed Functional Units,data_entry_points,ghg_scope,life_cycle_assessment,Life Cycle Step,Main focus,Focus,Licence,Self-Hostable,Originating Country,Logo,Inside Model,Methodology Transparency,Status,Creator,Creation date,Sources,Creator_comment,reviewer_1,review_1_date,review_1_explanation,reviewer_2,review_2_date,review_2_explanation,Linked Publications
Boagent,Boavizta,https://github.com/Boavizta/boagent,,"GWP (CO2eq),ADPe (Sbeq),Final Energy (J/Wh),Primary Energy (J)","An agent an API collecting hardware characteristics of the local machine, getting its electricity consumption and providing the estimation of environmental impacts this machine has on a given period of time, including both manufacturing and usage phases of its life.",Evaluation,"Infra - Datacenter,Software - CI/CD,Software - Backend","Machine,Team,Project,Process (System),Application",,,,"Extraction,Manufacturing,Usage,End of Life",Calculation,"Awareness,Calculation,Eco-design,Collection",Open-Source (Apache 2.0),Yes,France,boagent_color.png(https://db.boavizta.org/dltemp/33eV6CqoQdFwLJdq/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/rgCkYX6NHEZ6Y-2qZv.png),,Fully Disclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
BoaviztAPI,Boavizta,https://doc.api.boavizta.org/,,"GWP (CO2eq),ADPf (MJ),ADPe (Sbeq),Water Depletion",,Evaluation,"Infra - Datacenter,Equipment - End-user Devices,Equipment - IoT,Infra - Cloud",Machine,,,,"Extraction,Manufacturing,Usage,End of Life",Calculation,"Awareness,Calculation,Eco-design",,Yes,France,boaviztapi_color.png(https://db.boavizta.org/dltemp/Wu7SOVxUnIS1zQp4/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/nCSehhBqMdP5bHcjgv.png),,Fully Disclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
CAST Highlight,CAST Software,https://www.castsoftware.com/pulse/decarbonizing-software-how-cast-applied-the-sci-metric-to-make-a-difference,SCI metric (Software Carbon Impact),GWP (CO2eq),"CAST Highlight assesses various aspects of software, including technical debt, cloud maturity, software composition, and environmental impact. The introduction of Green Software Insights within CAST Highlight supported our collective mission to quantify and reduce the carbon emissions associated with software applications.","Evaluation,Measure","Software - Backend,Software - API,Software - Mobile Apps,Software - Web Apps",Application,TBQ,"Scope 2,Scope 3",TBQ,"Extraction,Manufacturing,Transport,Usage,End of Life",Calculation,Awareness,Closed Source / Commercial,Not Applicable,France,cast.jpg(https://db.boavizta.org/dltemp/oVA2r2q4VzlRcrYY/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/4POs-apt8JXi_2PEtI.jpg),TBQ,Disclosed - Internal / Clients,Draft,Maël Levet,2024-04-25,,,,,,,,,0
Calculator Green Algorithms,"Lannelongue, L., Grealey, J., Inouye, M",http://calculator.green-algorithms.org/,,GWP (CO2eq),,Evaluation,Software - Backend,Application,,,,Usage,Awareness,"Calculation,Awareness,Reporting",Creative Commons (CC-BY),Yes,,,,Fully Disclosed,Draft,Benoit Petit,2024-02-11,,,,,,,,,0
Carbon Aware SDK,Green Software Foundation,https://github.com/Green-Software-Foundation/carbon-aware-sdk,,GWP (CO2eq),,Evaluation,"Infra - Datacenter,Software - Backend","Application,Feature",,,,Usage,Calculation,"Calculation,Collection",Open-Source (MIT),Yes,USA,,,Fully Disclosed,Draft,Benoit Petit,2024-02-11,,,,,,,,,0
Carbon Facts,Qarnot,https://qarnot.com/en/low-carbon,,GWP (CO2eq),Carbon Facts are an energy consumption management tool developed by Qarnot to issue detailed reports on the energy expenses and savings of computations on the cloud platform.,Evaluation,Infra - Datacenter,"Machine,Room",,,,Usage,Reporting,Calculation,Closed Source / Commercial,No,France,,,Undisclosed,Draft,Gaël Duez,2024-02-12,,,,,,,,,0
Carbonalyzer,The Shift Project,https://theshiftproject.org/en/carbonalyser-browser-extension/,,GWP (CO2eq),"Outdated, say it's creators. Don't rely on the results produced.",Evaluation,Software - Web Content,"Request (HTTP),User,Website",,,,"Usage,Manufacturing",Awareness,"Awareness,Calculation",Open-Source (MIT),Not Applicable,France,IconePlugin%20(1).png(https://db.boavizta.org/dltemp/T7vTOlf6Kyva0_Hq/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/F4hHQx5Ut1HSxI6iVe.png),,Fully Disclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
Cloud Carbon Footprint,Thoughtworks,https://www.cloudcarbonfootprint.org/,,GWP (CO2eq),"Cloud Carbon Footprint is an open source tool that provides visibility and tooling to measure, monitor and reduce your cloud carbon emissions. We use best practice methodologies to convert cloud utilization into estimated energy usage and carbon emissions, producing metrics and carbon savings estimates that can be shared with employees, investors, and other stakeholders.",Evaluation,Infra - Cloud,"Project,Application,Team,Machine",,,,"Extraction,Manufacturing,Usage",Reporting,"Collection,Calculation,Reporting",Open-Source (Apache 2.0),Yes,USA,,,Fully Disclosed,Draft,Gaël Duez,2023-12-18,,,,,,,,,0
Cloud-Scanner,Boavizta,https://boavizta.github.io/cloud-scanner/,,"ADPf (MJ),ADPe (Sbeq),Primary Energy (J),Water Depletion,GWP (CO2eq)",,Evaluation,Infra - Cloud,"Machine,Project,Team",,,,"Extraction,Manufacturing,Usage,End of Life",Calculation,"Reporting,Calculation,Collection",Open-Source (AGPLv3),Yes,France,cloudscanner_color.png(https://db.boavizta.org/dltemp/37RN568tRIO8oMCT/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/caHDXSfRwHE4wVX45D.png),,Fully Disclosed,Draft,Gaël Duez,2023-12-18,,,,,,,,,0
Cloud-assess,Resilio / Kleis Technology,https://www.cloudassess.org/,,"Water Depletion,GWP (CO2eq),ADPf (MJ),ADPe (Sbeq),Primary Energy (J),Final Energy (J/Wh)",,Evaluation,Software - Backend,"Machine,Room,Project,Application",,,,"Extraction,Manufacturing,Transport,Usage,End of Life",Calculation,"Reporting,Calculation,Awareness",Open-Source (Apache 2.0),Yes,Switzerland,Cloud-Assess-Main-Logo.webp(https://db.boavizta.org/dltemp/UKKJg4Y4yLCd24P0/1714474200000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/IGhSimH_8WRLAbP7Ac.webp),,Disclosed - Internal / Clients,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
Datavizta,Boavizta,https://dataviz.boavizta.org/,Servers Clouds User devices,"GWP (CO2eq),Primary Energy (J),ADPe (Sbeq)","The impact assessment tool provides an understanding of the environmental impacts of servers, cloud instances and user terminals on several criteria (at least Global Warming Potential, Primary Energy and Abiotic Resource Depletion Potential), over two life cycle phases (use, manufacturing) based on their technical characteristics and context of use.",Evaluation,"Infra - Cloud,Infra - Network,Infra - Datacenter,Equipment - End-user Devices,Equipment - IoT",Machine,"CPU based (RAPL),CPU - RAM - I/O (raw),Devices Inventory,CPU capacity,RAM capacity","Scope 1,Scope 2,Scope 3",Partially,"Manufacturing,Usage",Calculation,Eco-design,Open-Source (AGPLv3),Yes,France,,TBQ,Fully Disclosed,Draft,François Moriamez,2024-04-18,,,,,,,,,0
Digital Carbon Online,ssps.co,https://www.digitalcarbon.online/,,GWP (CO2eq),,Evaluation,Software - Web Apps,,,,,,Calculation,,Closed Source / Commercial,No,United Kingdom,,,,Draft,Gael Duez,2024-03-15,,,,,,,,,0
EcoCode,Fondation Ecocode,https://ecocode.io,,Not Applicable,,BestPractices,"Software - Backend,Software - Mobile Apps","Feature,Application,Request (HTTP),Network Traffic",,,,Not Applicable,Eco-design,Eco-design,Open-Source (GPLv3),Yes,France,,,Fully Disclosed,Draft,Gaël Duez,2023-12-18,,,,,,,,,0
Ecobenchmark-applicationweb-backend,Boavizta,https://github.com/Boavizta/ecobenchmark-applicationweb-backend,,Final Energy (J/Wh),,"Evaluation,Measure","Software - Backend,Software - Development tools,Software - API,Software - Web Apps","Application,Feature,Request (HTTP),User Story",,,,"Usage,Manufacturing",Eco-design,"Reporting,Calculation,Awareness,Eco-design",Open-Source (AGPLv3),Yes,France,,,Fully Disclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
Green Web Directory,Green Web Foundation,https://app.greenweb.org/directory/,,GWP (CO2eq),Green Web Directory is a searchable list of verified green hosting providers which enables people to quickly find organisations they can buy services from.,Evaluation,Infra - Datacenter,Website,,,,Usage,Reporting,Awareness,Open-Source (Apache 2.0),Yes,European Union,,,Fully Disclosed,Draft,Gaël Duez,2024-02-02,,,,,,,,,0
Greenframe-cli,Marmelab,https://github.com/marmelab/greenframe-cli,,"GWP (CO2eq),Final Energy (J/Wh)",,Evaluation,"Software - Development tools,Software - Web Apps","Request (HTTP),User,Feature,Application",,,,Usage,Eco-design,"Collection,Calculation,Eco-design,Reporting",Business Source (non permissive licence),Yes,France,,,Fully Disclosed,Draft,Last editor,2023-12-18,,,,,,,,,0
Greenie Web,Greenie Web,https://www.greenieweb.co/,,GWP (CO2eq),,Evaluation,Software - Web Content,Application,,,,Usage,Eco-design,"Reporting,Eco-design,Collection,Calculation",Closed Source / Commercial,No,Singapore,greenie%20web%20logo.png(https://db.boavizta.org/dltemp/VL_OCRleapkMJKvo/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/5p-IyCTN0pt6EC0S7c.png),,Undisclosed,Draft,Gaël Duez,2023-12-18,,,,,,,,,0
Greenspector,,https://greenspector.com/en/home/,,"Final Energy (J/Wh),GWP (CO2eq)",,"Evaluation,Measure","Equipment - End-user Devices,Software - Development tools,Software - Web Apps","Request (HTTP),Application,Website,User Story,Feature",,,,"Usage,Manufacturing",Eco-design,"Calculation,Reporting,Awareness,Eco-design,Collection",Closed Source / Commercial,No,France,,,Undisclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
Greet,Lecko,https://greet.lecko.fr/en/,,GWP (CO2eq)," the platform of a data-driven support for the better working practices development within Microsoft O365","BestPractices,Evaluation",Global - Digital Workspace,Application,TBQ,TBQ,TBQ,TBQ,Awareness,Awareness,Closed Source / Commercial,No,France,Greet.png(https://db.boavizta.org/dltemp/WU3Uq9v1RjKVSN_u/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/HEzEiXqBXu3GWeG3zc.png),TBQ,,Draft,Gael Duez,2024-04-26,,,,,,,,,0
Kepler,Cloud Native Computing Foundation,https://sustainable-computing.io/,,Final Energy (J/Wh),"Kepler (Kubernetes-based Efficient Power Level Exporter) is a Prometheus exporter. It uses eBPF to probe CPU performance counters and Linux kernel tracepoints.

These data and stats from cgroup and sysfs can then be fed into ML models to estimate energy consumption by Pods.",Measure,Infra - Cloud,Process (System),,,,Not Applicable,,,,,USA,,,,Draft,Gaël Duez,2024-02-02,,,,,,,,,0
MyITFootprint,Aguaro,https://aguaro.io/fr,,GWP (CO2eq),,Evaluation,"Equipment - End-user Devices,Global - Information System,Infra - Datacenter","Project,Team,Room,Machine",,,,"Manufacturing,Usage",Reporting,"Reporting,Calculation,Awareness,Collection",Closed Source / Commercial,No,France,,,,Draft,Benoit Petit,2024-02-11,,,,,,,,,0
PCM,Intel,https://github.com/intel/pcm,,Final Energy (J/Wh),,Measure,"Infra - Datacenter,Software - Development tools,Equipment - End-user Devices","Process (System),Machine,Application",,,,Usage,,,Open-Source (BSD-3),Yes,,,,,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
Pagiel,Zenika,https://github.com/Zenika/pagiel,,"Water Depletion,Final Energy (J/Wh),GWP (CO2eq)",,"Evaluation,Measure","Software - CI/CD,Software - Development tools","Application,Feature",,,,Usage,Calculation,"Calculation,Collection,Eco-design",Open-Source (GPLv3),Yes,France,,,Fully Disclosed,Draft,Last editor,2023-12-18,,,,,,,,,0
Power API,Romain Rouvoy / Spirals Team / INRIA Lille,https://powerapi.org/,,Final Energy (J/Wh),,"Measure,Evaluation","Infra - Datacenter,Software - Backend,Software - Development tools","Process (System),Machine,Application",,,,Usage,Calculation,"Reporting,Calculation,Awareness,Eco-design,Collection",Open-Source (BSD-3),Yes,France,PowerAPI-logo.png(https://db.boavizta.org/dltemp/jLQu3elfIjXvb1hL/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/Li-4Udst8dvEpfJonT.png),,Fully Disclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
PowerJoular,Adel Nourredine / Université de Pau et des Pays de l'Adour,https://www.noureddine.org/research/joular/powerjoular,,Final Energy (J/Wh),,"Measure,Evaluation","Software - Backend,Software - Development tools,Software - CI/CD,Infra - Datacenter,Equipment - IoT","Process (System),Application,Machine",,,,Usage,Calculation,"Calculation,Reporting,Awareness,Eco-design,Collection",Open-Source (GPLv3),Yes,France,powerjoular.png(https://db.boavizta.org/dltemp/TNQ3gm7ufO0tVBNq/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/qg0FbmIgERwFW0OmGK.png),,Fully Disclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
Powertop,"Arjan van de Ven ",https://github.com/fenrus75/powertop,,Final Energy (J/Wh),,"Evaluation,Measure,BestPractices",Equipment - End-user Devices,"Application,Process (System),Machine",,,,Usage,Awareness,"Calculation,Awareness,Reporting",Open-Source (GPLv2),Yes,,,,Fully Disclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
ResilioDB,Resilio,https://db.resilio.tech/,,"GWP (CO2eq),Water Depletion",,Evaluation,"Equipment - End-user Devices,Infra - Datacenter",Machine,,,,"Extraction,Manufacturing,Usage,End of Life",Calculation,Calculation,Closed Source / Commercial,No,Switzerland,,,Disclosed - Internal / Clients,Draft,Gaël Duez,2023-12-18,,,,,,,,,0
Scaphandre,Hubblo,https://hubblo-org.github.io/scaphandre/,,Final Energy (J/Wh),,"Measure,Evaluation","Infra - Datacenter,Software - CI/CD,Software - Backend,Software - Development tools","Machine,Application,Process (System)",,,,Usage,Calculation,"Calculation,Collection,Eco-design,Awareness,Reporting",Open-Source (Apache 2.0),Yes,France,4.png(https://db.boavizta.org/dltemp/3OHUpkbQ_h-727Yg/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/Hkp5wCSzOb96Kr1OHZ.png),,Fully Disclosed,Draft,Benoit Petit,2023-12-18,,,,,,,,,0
Scope3,Scope3,https://scope3.com/,Online interface (publisher model),GWP (CO2eq),"Comprehensive, granular, dynamic emissions measurement with contributed data from across the advertising ecosystem. Scope3’s open methodology empowers true emissions reduction across channels.",Evaluation,Global - Digital Advertising,TBQ,"Devices Inventory,Request Number,Bandwidth",Scope 3,TBQ,"Extraction,Manufacturing,Transport,Usage,End of Life",Eco-design,Calculation,Open-Source (Apache 2.0),Yes,USA,scope3.jpg(https://db.boavizta.org/dltemp/OfgxCHxPyeAw0SeY/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/4ehr9JUvez5-SYZYbF.jpg),TBQ,Fully Disclosed,Draft,Maël Levet,2024-04-25,https://github.com/scope3data/methodology,,,,,,,,0
Scope3,Scope3,https://scope3.com/,API (customizable entries),GWP (CO2eq),"Comprehensive, granular, dynamic emissions measurement with contributed data from across the advertising ecosystem. Scope3’s open methodology empowers true emissions reduction across channels.",Evaluation,Global - Digital Advertising,TBQ,"Devices Inventory,Datacenter Localization,User localization,Request Number,Connexion type,Bandwidth",Scope 3,TBQ,"Extraction,Manufacturing,Transport,Usage,End of Life",Eco-design,Calculation,Open-Source (Apache 2.0),Yes,USA,scope3.jpg(https://db.boavizta.org/dltemp/rSJ306FMeMbgSvwm/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/WAdaIgtHwSA3Pe6AsO.jpg),TBQ,Fully Disclosed,Draft,Maël Levet,2024-04-25,https://github.com/scope3data/methodology,,,,,,,,0
Sentry Software,Sentry Software,https://www.sentrysoftware.com/,,Final Energy (J/Wh),,Measure,Infra - Datacenter,Machine,,,,Usage,Reporting,"Reporting,Calculation,Awareness,Collection",Closed Source / Commercial,Yes,France,,,Disclosed - Internal / Clients,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
SoftAWERE,"SDIA, Boavizta",https://softawere-hackathon.gitlab.io/documentation/,,"GWP (CO2eq),ADPf (MJ),Final Energy (J/Wh)",,"Evaluation,Measure","Software - CI/CD,Software - Development tools","Application,Project,Team,User Story,Feature,Process (System)",,,,"Extraction,Manufacturing,Usage",Eco-design,"Eco-design,Awareness,Calculation,Reporting,Collection",Open-Source (AGPLv3),Yes,Germany,,,Fully Disclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
SoftwareLifecycleEnvImpact,Orange,https://github.com/Orange-OpenSource/SoftwareLifecycleEnvImpact,,,,Evaluation,Software - Development tools,"Project,Team,Application",,,,"Extraction,Manufacturing,Transport,Usage,End of Life",Calculation,"Calculation,Awareness",Open-Source (BSD-3),Yes,France,,,Fully Disclosed,Draft,Benoit Petit,2024-02-14,,,,,,,,,0
WebVert Auto-Diagnostic,Webvert,https://www.lewebvert.fr/offre/auto-diag/,,GWP (CO2eq),Evaluation focus on useless bandwidth.,Evaluation,Software - Web Content,Website,Bandwidth,Scope 2,No,Usage,Eco-design,Calculation,Closed Source / Commercial,No,France,Webvert%20-%20Logotype%20-%20Couleur.svg(https://db.boavizta.org/dltemp/8wvuun8wxqtWeOnq/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/lCZGORBuNU0HuR69yW.svg),"OneByte,Lighthouse",Fully Disclosed,Draft,Youen Chéné,2024-04-19,"https://www.lewebvert.fr/entreprise/faq/
https://www.lewebvert.fr/blog/2023-09-06-etat-de-lart-site-web-contenu-v2/",Disclaimer - I am the founder of webvert. I created the entry. Don't put me in the evaluation.,,,,,,,0
Tanaguru Engine,Tanaguru,https://www.tanaguru.com/en/open-source-tools-tanaguru/,,,,,,,,,,,,,,,,,,,Not to be listed,Gaël Duez,,,,,,,,,,0
API Green Score,"Groupe Rocher, Loreal",https://github.com/API-Green-Score/APIGreenScore,,Not Applicable,,BestPractices,Software - API,"Application,Request (HTTP),User,Project,Feature,User Story",,,,Usage,,,Creative Commons (CC-BY-NC-ND),Not Applicable,,apigreenscore_logo_byCAT.png(https://db.boavizta.org/dltemp/wDwnrJ12gjVb9Os8/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/XIVsZMNp974Hq4Mny2.png),,,Sandbox,Gaël Duez,,,,,,,,,,0
Arneo_,,,,,,,,,,,,,,,,,,Arneo-Logo.avif(https://db.boavizta.org/dltemp/tZeezY66TwlzJzp3/1714475400000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/w-bkWBiebYEPfk9X3k.avif),,,Sandbox,Gaël Duez,,,,,,,,,,0
